"","EyetrackingR","MyVersionPositiveT","MyVersionNegativeT"
"264",0,0,0
"265",-3.96816080967197,-2.19856446213224,-2.67100906763234
"266",0,2.48870112455863,-3.39267490830831
"267",-2.21995239561563,0,0
"268",2.87689007466124,-2.34864408377644,-2.55096052050341
"269",0,2.6263358283586,2.6263358283586
"270",0,0,0
"271",0,0,0
"272",0,-2.10476882661054,-2.10476882661054
"273",2.91416128417596,2.22458843332556,-3.14153751378685
"274",-2.63592133116835,0,0
"275",-2.34211752171288,4.95268439540068,-2.76171656489186
"276",-2.36168937857427,2.23835351154791,2.23835351154791
"277",0,2.71669235201072,-3.54966478474501
"278",-2.96599182814585,0,0
"279",2.2820404859343,2.19016989785258,2.10840654316489
"280",0,-5.10428848521073,-5.10428848521073
"281",0,2.37814981781333,-3.19855736712181
"282",-2.19856446213224,0,0
"283",0,0,0
"284",-2.09504391599624,0,0
"285",0,0,0
"286",-2.92221249102399,-2.44746787719492,-2.44746787719492
"287",-2.82583705660136,2.09504391599624,2.09504391599624
"288",2.66377157660819,2.16888494290298,2.16888494290298
"289",-2.69016844026656,0,0
"290",0,2.55096052050341,2.52441494359652
"291",2.25799302362937,2.25819439102596,2.25819439102596
"292",3.06312194490894,0,0
"293",0,2.71669235201072,2.71669235201072
"294",2.52441494359652,0,0
"295",4.5577893395864,0,0
"296",3.0523211362696,0,0
"297",-2.76995313720608,0,0
"298",2.2820404859343,0,0
"299",2.82583705660136,0,0
"300",2.63592133116835,0,0
"301",0,-2.15307119220985,-2.48376918359667
